sample_id,spp,mountain,site,treatment,block,experiment,treat,none,non_prop,arbuscules,arb_prop,vesicles,ves_prop,coils,coil_prop,hyphae,hyphae_prop,endo,endo_prop,total
KIL_ACSA_FCH1,ACSA,KIL,H,FCH1,1,trans,H,133,0.7733,3,0.0174,2,0.0116,1,0.0058,29,0.1686,4,0.0233,172
KIL_ACSA_SCL2,ACSA,KIL,L,SCL2,2,trans,L,99,0.3613,32,0.1168,33,0.1204,7,0.0255,97,0.354,7,0.0255,274
KIL_ACSA_FCL2,ACSA,KIL,L,FCL2,2,trans,L,143,0.4441,40,0.1242,33,0.1025,10,0.0311,92,0.2857,4,0.0124,322
KIL_ACSA_HL2,ACSA,KIL,L,HL2,2,trans,H,76,0.475,17,0.1063,18,0.1125,4,0.025,44,0.275,1,0.0063,160
KIL_ACSA_SCL3,ACSA,KIL,L,SCL3,3,trans,L,122,0.5328,13,0.0568,21,0.0917,6,0.0262,65,0.2838,2,0.0087,229
KIL_ACSA_HL1,ACSA,KIL,L,HL1,1,trans,H,128,0.5639,15,0.0661,16,0.0705,6,0.0264,57,0.2511,5,0.022,227
KIL_ACSA_ML3,ACSA,KIL,L,ML3,3,trans,M,89,0.4083,18,0.0826,22,0.1009,4,0.0183,82,0.3761,3,0.0138,218
KIL_ACSA_SCL1,ACSA,KIL,L,SCL1,1,trans,L,123,0.4556,23,0.0852,29,0.1074,5,0.0185,84,0.3111,6,0.0222,270
KIL_ACSA_ML2,ACSA,KIL,L,ML2,2,trans,M,127,0.5292,18,0.075,13,0.0542,6,0.025,70,0.2917,6,0.025,240
KIL_ACSA_LH3,ACSA,KIL,H,LH3,3,trans,L,145,0.6042,12,0.05,13,0.0542,3,0.0125,60,0.25,7,0.0292,240
JAY_ACSA_LM3,ACSA,JAY,M,LM3,3,trans,L,124,0.494,19,0.0757,22,0.0876,5,0.0199,76,0.3028,6,0.0239,251
KIL_ACSA_LM1,ACSA,KIL,M,LM1,1,trans,L,62,0.5391,5,0.0435,7,0.0609,2,0.0174,35,0.3043,4,0.0348,115
KIL_ACSA_FCM1,ACSA,KIL,M,FCM1,1,trans,M,93,0.5536,10,0.0595,12,0.0714,4,0.0238,45,0.2679,4,0.0238,168
KIL_ACSA_MH2,ACSA,KIL,H,MH2,2,trans,M,159,0.5146,23,0.0744,42,0.1359,3,0.0097,76,0.246,6,0.0194,309
KIL_ACSA_FCH3,ACSA,KIL,H,FCH3,3,trans,H,188,0.7068,6,0.0226,15,0.0564,2,0.0075,46,0.1729,9,0.0338,266
KIL_ACSA_SCH2,ACSA,KIL,H,SCH2,2,trans,H,178,0.8725,2,0.0098,4,0.0196,0,0,15,0.0735,5,0.0245,204
KIL_ACSA_SCH3,ACSA,KIL,H,SCH3,3,trans,H,184,0.8288,5,0.0225,7,0.0315,1,0.0045,17,0.0766,8,0.036,222
KIL_ACSA_LH1,ACSA,KIL,H,LH1,1,trans,L,93,0.5776,6,0.0373,10,0.0621,2,0.0124,47,0.2919,3,0.0186,161
KIL_ACSA_MH1,ACSA,KIL,H,MH1,1,trans,M,139,0.702,3,0.0152,7,0.0354,3,0.0152,37,0.1869,9,0.0455,198
KIL_ACSA_FCL1,ACSA,KIL,L,FCL1,1,trans,L,95,0.413,15,0.0652,24,0.1043,3,0.013,79,0.3435,14,0.0609,230
KIL_ACSA_SCH1,ACSA,KIL,H,SCH1,1,trans,H,171,0.6867,2,0.008,13,0.0522,4,0.0161,46,0.1847,13,0.0522,249
KIL_ACSA_LH2,ACSA,KIL,H,LH2,2,trans,L,198,0.645,17,0.0554,17,0.0554,4,0.013,62,0.202,10,0.0326,307
